336;L;7172;E;
337;L;7206;E;
338;L;7206;E;
339;L;7206;E;
340;L;7206;E;
341;L;7206;E;
342;L;7206;E;
343;L;7206;E;
344;L;7206;E;
345;L;7215;E;
346;L;7215;E;
347;L;7215;E;
348;L;7215;E;
349;L;7193;E;
350;L;7193;E;
351;L;7193;E;
352;L;7193;E;
353;L;7193;E;
354;L;7193;E;
355;L;7193;E;
356;L;7193;E;
357;L;7193;E;
358;L;7193;E;
359;L;7193;E;
360;L;7193;E;
361;L;7193;E;
362;L;7193;E;
363;L;7193;E;
364;L;7193;E;
365;L;7193;E;
366;L;7193;E;
367;L;7198;E;
368;L;7198;E;
369;L;7198;E;
370;L;7198;E;
371;L;7198;E;
372;L;7198;E;
373;L;7198;E;
374;L;7198;E;
375;L;7198;E;
376;L;7198;E;
377;L;7198;E;
378;L;7198;E;
379;L;7198;E;
380;L;7198;E;
502;L;7207;E;
503;L;7207;E;
505;L;7207;E;
521;L;7207;E;
524;L;7207;E;
527;L;7207;E;
534;L;7207;E;
537;L;7207;E;
535;L;7207;E;
544;L;7207;E;
557;L;7207;E;
520;L;7207;E;
490;L;7207;E;
549;L;7207;E;
491;L;7207;E;
513;L;7207;E;
532;L;7207;E;
530;L;7207;E;
525;L;7207;E;
518;L;7207;E;
507;L;7207;E;
543;L;7207;E;
529;L;7207;E;
554;L;7207;E;
516;L;7207;E;
479;L;7207;E;
496;L;7207;E;
512;L;7207;E;
481;L;7207;E;
548;L;7207;E;
551;L;7207;E;
553;L;7207;E;
542;L;7207;E;
486;L;7207;E;
538;L;7207;E;
541;L;7207;E;
556;L;7207;E;
381;L;7430;E;
382;L;7430;E;
383;L;7430;E;
384;L;7430;E;
385;L;7428;E;
386;L;7428;E;
387;L;7427;E;
388;L;7427;E;
389;L;7427;E;
390;L;7427;E;
391;L;7438;E;
392;L;7438;E;
393;L;7438;E;
394;L;7434;E;
395;L;7434;E;
396;L;7434;E;
397;L;7434;E;
398;L;7434;E;
399;L;7434;E;
400;L;7434;E;
401;L;7438;E;
402;L;7314;E;
403;L;7314;E;
404;L;7326;E;
405;L;7337;E;
406;L;7337;E;
407;L;7339;E;
408;L;7339;E;
409;L;7487;E;
410;L;7097;E;
411;L;7067;E;
412;L;7505;E;
413;L;7505;E;
414;L;7333;E;
415;L;7333;E;
416;L;7112;E;
417;L;7408;E;
418;L;7333;E;
419;L;7339;E;
420;L;7215;E;
421;L;7185;E;
422;L;7337;E;
423;L;7109;E;
424;L;7427;E;
425;L;7337;E;
426;L;7333;E;
427;L;7343;E;
428;L;7172;E;
429;L;7111;E;
430;L;7047;E;
431;L;7337;E;
432;L;7095;E;
531;L;7207;E;
433;L;7408;E;
434;L;7215;E;
435;L;7337;E;
545;L;7207;E;
436;L;7198;E;
437;L;7095;E;
438;L;7408;E;
477;L;7207;E;
